,1,RONGSOK  ,BRG-1,Kg
,2,ALMUNIUM,BRG-2,Kg
,3,UNP,BRG-3,Kg
,4,SCRAP,j,Kg
,5,SIKU + UNP,BRG-5,Kg
,6,ASH,BRG-6,Kg
,7,RANGKA BETON BEKAS,BRG-7,Kg
,8,PARALON,BRG-8,Kg
,9,PULI,BRG-9,Kg
,10,TB,BRG-10,Kg
,11,CSR,BRG-11,Kg
,12,RONGSOK KABIN,BRG-12,Kg
,13,ACP,BRG-13,Kg
,14,TEMBAGA,BRG-14,Kg
,15,PIPA,BRG-15,Kg
,16,WF,BRG-16,Kg
,17,BON DIMINTA,BRG-17,
,18,HBEAM + PIPA,BRG-18,Kg
,19,KIRIM,BRG-19,
,20,PLONGAN,BRG-20,Kg
,21,PCB,BRG-21,Kg
,22,TS,BRG-22,Kg
,23,JEMBATAN WF,BRG-23,Rad
,24,STAINLESS INDIA,BRG-24,Kg
,25,STAINLESS,BRG-25,Kg
,26,SLINDER ,BRG-26,Kg
,27,DINAMO,BRG-27,Kg
,28,KANAL U,BRG-28,Kg
,29,SPEARPART ALMUNIUM,BRG-29,Kg
,30,SPEARPART PLASTIK,BRG-30,Kg
,31,SPEARPART BESI,BRG-31,Kg
,32,CK AYAM + STEK,BRG-32,Kg
,33,BESI UNP,BRG-33,Kg
,34,VIBRATOR,BRG-34,Kg
,35,,BRG-35,TF
,36,CK AYAM,BRG-36,Kg
,37,SIKU  ,BRG-37,Kg
,38,ACCU,BRG-38,Kg
,39,MINGGUAN,BRG-39,Pcs
,40,SPEARPART,BRG-40,Rad
,41,CNP,BRG-41,Kg
,42,CINCIN BETON,BRG-42,Kg
,43,HOLLO,BRG-43,Kg
,44,TABUNG PEREON,BRG-44,Kg
,45,BESI CAMPUR,BRG-45,Kg
,46,RANGKA BETON BARU,BRG-46,Kg
,47,KENI,BRG-47,Kg
,48,SENG GALVALUME,BRG-48,M
,49,BAJA RINGAN,BRG-49,Pcs
,50,HBEAM  ,BRG-50,Kg
,51,DP H BEAM,BRG-51,Kg
,52,KALENG,BRG-52,Kg
,53,BAJA RINGAN BEKAS,BRG-53,Kg
,54,TIANG VOLLY,BRG-54,Kg
,55,OKSIGEN ,BRG-55,Tabung
,56,BESI BETON,BRG-56,Kg
,57,GRAM BESI,BRG-57,Kg
,58,FEE,BRG-58,Kg
,59,PLATE,BRG-59,Kg
,60,PALET PLASTIK,BRG-60,Pcs
,61,WIREMESH  BEKAS,BRG-61,Kg
,62,KALENG,BRG-62,Kg
,63,Cakar Ayam Bekas,BRG-63,Kg
,64,CICALENGKA - RANCAEKEK DC,BRG-64,TF
,65,RANCAEKEK - RANCAEKEK DC,BRG-65,TF
,66,KOORDINASI,BRG-66,Rad
,67,WIREMESH   ,BRG-67,Lembar
,68,ALMUNIUM KALENG ,BRG-68,Kg
,69,KOMPA ,BRG-69,Kg
,70,PRINTER,BRG-70,Pcs
,71,RONGSOK MOTOR,BRG-71,Kg
,72,TREGSTANG,BRG-72,Kg
,73,SIEBEL,BRG-73,Kg
,74,KUNINGAN,BRG-74,Kg
,75,BOLA LAHER,BRG-75,Kg
,76,LOGAM,BRG-76,Kg
,77,SENG  ,BRG-77,Kg
,78,KERAN STAINLESS,BRG-78,Kg
,79,HIDROLIK,BRG-79,Kg
,80,TS 2,BRG-80,Kg
,81,BC,BRG-81,Kg
,82,TB,BRG-82,Kg
,83,KN,BRG-83,Kg
,84,RADIATOR KUNINGAN,BRG-84,Kg
,85,ALM KAWAT,BRG-85,Kg
,86,SKA,BRG-86,Kg
,87,BM,BRG-87,Kg
,88,ALM PLAT,BRG-88,Kg
,89,ALM ARO,BRG-89,Kg
,90,ALM KREY,BRG-90,Kg
,91,PLASTIK PVC,BRG-91,Kg
,92,BETON 10 MM URIL,BRG-92,Btg
,93,BETON 16 MM URIL,BRG-93,Btg
,94,KAWAT TALI BETON,BRG-94,Kg
,95,MOBIL,BRG-95,Unit
,96,PLATE POTONG,BRG-96,Kg
,97,SARINGAN,BRG-97,Kg
,98,ACP,BRG-98,Kg
,99,RAK,BRG-99,Kg
,100,BAUD BEKAS,BRG-100,Kg
,101,SENG ROLL,BRG-101,Kg
,102,KAWAT  ,BRG-102,Kg
,103,DRUM,BRG-103,Pcs
,104,LAHER,BRG-104,Kg
,105,FORKLIFT,BRG-105,Kg
,106,TOREN,BRG-106,Pcs
,107,KEREN,BRG-107,Kg
,108,KABEL,BRG-108,Kg
,109,DRUM,BRG-109,PCS
,110,JELIGEN,BRG-110,PCS
,111,DP RANGKA,BRG-111,Rad
,112,SELANG HIDROLIK,BRG-112,Pcs
,113,KABIN,BRG-113,Kg
,114,GRAM ALM,BRG-114,Kg
,115,SENG ALM,BRG-115,Kg
,116,WIREMESH BEKAS,BRG-116,Kg
,117,TONG,BRG-117,Pcs
,118,"BONDEX 0,7 MM",BRG-118,LEMBAR
,119,BETON 8 MM FULL,BRG-119,BATANG
,120,BETON 6 MM FULL,BRG-120,BATANG
,121,"CNP 150 X 2,3 MM X 6 M",BRG-121,BATANG
,122,"CNP 75 X 1,6 MM X 6M",BRG-122,BATANG
,123,"CNP BAJA RINGAN 0,75 MM",BRG-123,BATANG
,124,"RENG BAJA RINGAN 0,4 MM",BRG-124,BATANG
,125,KUNINGAN TEMBAGA,BRG-125,Kg
,126,ALM ATAP,BRG-126,Kg
,127,RADIATOR ALM,BRG-127,Kg
,128,ACU,BRG-128,Kg
,129,TIMAH,BRG-129,Kg
,130,RONGSOK A,BRG-130,Kg
,131,RONGSOK B,BRG-131,Kg
,132,KAWAT,BRG-132,Kg
,133,CINCIN BETON BARU,BRG-133,Kg
,134,BESI,BRG-134,Kg
,135,KONTAKTOR,BRG-135,Kg
,136,DP WF ,BRG-136,Rad
,137,DP Seng,BRG-137,Kg
,138,,BRG-138,
,139,SATU SET ALAT POTONG,BRG-139,Kg
,140,Win Sling,BRG-140,Pcs
,141,BETON 13 URIL,BRG-141,BATANG
,142,NCB,BRG-142,Kg
,143,BAK PEEL ,BRG-143,Kg
,144,ALMUNIUM SIKU,BRG-144,Kg
,145,PER,BRG-145,Kg
,146,TONG,BRG-146,Pcs
,147,SIMER SIBEL,BRG-147,Kg
,148,TANGGA PUTAR,BRG-148,Kg
,149,KABINET,BRG-149,Kg
,150,LUBANG,BRG-150,Pcs
,151,TIANG LISTRIK 8 M,BRG-151,Pcs
,152,WF DAN HBEAM,BRG-152,Kg
,153,BESI BETON REJECT,BRG-153,Kg
,154,HBEAM 300 PLUS BESPLAT,BRG-154,Kg
,155,HBEAM,BRG-155,Kg
,156,SOBLEKER,BRG-156,Pcs
,157,TABUNG KECIL,BRG-157,PCS
,158,TABUNG BESAR,BRG-158,PCS
,159,KAYU GELONDONGAN,BRG-159,Rad
,160,KAYU DAN GENTENG,BRG-160,Rad
,161,WF 300,BRG-161,Kg
,162,WF 250,BRG-162,Kg
,163,HENPALET DAN SPERPART,BRG-163,Kg
,164,PIPA BOR,BRG-164,Kg
